area,screen,group,control,type,what_it_does,side_effects_or_notes,visibility
Admin shell,Top bar / rail,Global,Dashboard icon,link,Open Newsroom,,
Admin shell,Top bar / rail,Global,My Site → publication,link,Open public site,,
Admin shell,Top bar / rail,Global,My Site → Site Settings,link,Open Settings,,site:manage
Admin shell,Top bar / rail,Global,My Site → Back up / Publish Online,link,Open local backup/publish workflow,,local
Admin shell,Top bar / rail,Global,+ New → Post,action,Create article,,Articles + content:write
Admin shell,Top bar / rail,Global,+ New → Podcast Episode,action,Create podcast episode,,Podcasts + content:write
Admin shell,Top bar / rail,Global,+ New → Media,action,Open/add media,,media:write
Admin shell,Top bar / rail,Global,+ New → Collection,action,Create/manage collection,,Articles
Admin shell,Top bar / rail,Global,+ New → Campaign,action,Create/manage campaign,,Campaigns + publishing:write
Admin shell,Top bar / rail,Global,+ New → Investigation,action,Create/manage investigation,,Investigations + publishing:write
Admin shell,Top bar / rail,Global,+ New → Course,action,Create/manage course,,Courses + publishing:write
Admin shell,Top bar / rail,Global,+ New → Publication,action,Create/manage publication,,Publications
Admin shell,Top bar / rail,Global,+ New → AudioLab Project,action,Open AudioLab,,AudioLab
Admin shell,Top bar / rail,Global,Command palette,button,Open admin command palette,,
Admin shell,Top bar / rail,Global,Log Out,button,End server session,,server
Admin shell,Top bar / rail,Global,Menu,button,Collapse/expand admin rail,Preference remembered locally,
Setup,First-run / Settings,Publishing setup,Publication name,text,Set primary publication identity,Used across public config,
Setup,First-run / Settings,Publishing setup,Short description,textarea,Describe publication,,
Setup,First-run / Settings,Publishing setup,Logo URL,url,Use hosted logo,,
Setup,First-run / Settings,Publishing setup,Upload logo,file,Upload logo to media,,
Setup,First-run / Settings,Publishing setup,Remove logo,button,Clear logo from setup draft,,
Setup,First-run / Settings,Publishing setup,Primary editor,text,Set editor/correspondence identity,,
Setup,First-run / Settings,Publishing setup,Simple Blog,button,Select Articles preset,,
Setup,First-run / Settings,Publishing setup,Media Publication,button,Select Articles+Podcasts+Translations,,
Setup,First-run / Settings,Publishing setup,Everything,button,Enable all modules,,
Setup,First-run / Settings,Publishing setup,Custom,button,Use manual module set,,
Setup,First-run / Settings,Publishing setup,Finish setup,button,Save setup and mark first run complete,,
Setup,First-run / Settings,Publishing setup,Save publishing tools,button,Persist module changes,,
Setup,First-run / Settings,Publishing modules,Articles,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Setup,First-run / Settings,Publishing modules,Podcasts,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Setup,First-run / Settings,Publishing modules,Campaigns,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Setup,First-run / Settings,Publishing modules,Investigations,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Setup,First-run / Settings,Publishing modules,Courses,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Setup,First-run / Settings,Publishing modules,Publications,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Setup,First-run / Settings,Publishing modules,Translations,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Setup,First-run / Settings,Publishing modules,PrintLab,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Setup,First-run / Settings,Publishing modules,AudioLab,checkbox,Enable/disable module surfaces,Hiding does not inherently delete data,
Dashboard,Newsroom,Workflow,Quick Create,button,Open new article,,Articles
Dashboard,Newsroom,Workflow,Backups,link,Open backups,,
Dashboard,Newsroom,Workflow,Recent Drafts → Edit,link,Open draft editor,,Articles
Dashboard,Newsroom,Workflow,Scheduled Publications → Edit,link,Open scheduled item,,Articles
Dashboard,Newsroom,Workflow,Recently Published → Edit,link,Open published item,,Articles
Dashboard,Newsroom,Workflow,Recent Edits → Edit,link,Open recently edited item,,Articles
Dashboard,Newsroom,Workflow,Pending Submissions,panel,Review submission queue,,Articles
Dashboard,Newsroom,Workflow,Recently Uploaded Media → Open,link,Open Media Library,,
Dashboard,Newsroom,Workflow,Recent Revisions → History,link,Open editor history,,Articles
Dashboard,Newsroom,Workflow,New Article,button,Create article,,Articles
Dashboard,Newsroom,Workflow,New Podcast Episode,button,Create podcast episode,,Podcasts
Dashboard,Newsroom,Workflow,Add Media,button,Open Media Library,,
Content,Native editor,Editor,Title,text,Set content title,,
Content,Native editor,Editor,Slug / permalink,text,Set public URL identifier,Changing published slug can break links,
Content,Native editor,Editor,Excerpt,textarea,Set condensed summary,Used by listing/feed contexts,
Content,Native editor,Editor,Body,editor,Edit main content,,
Content,Native editor,Editor,Visual tab,tab,Edit visual body,,
Content,Native editor,Editor,Source/text tab,tab,Edit underlying body source,,
Content,Native editor,Editor,Author,text,Set author/byline,Potentially public,
Content,Native editor,Editor,Status,select,Set draft/scheduled/published/archived/trash,Changes lifecycle,
Content,Native editor,Editor,Editorial workflow,select,Set draft/review/scheduled/published/archived,Separate from status,
Content,Native editor,Editor,Scheduled date/time,datetime,Set future publish time,Verify timezone,scheduled
Content,Native editor,Editor,Save Draft,button,Persist draft,,
Content,Native editor,Editor,Submit for Review,button,Persist in review,,
Content,Native editor,Editor,Preview,button,Save then preview,Not publication,
Content,Native editor,Editor,Schedule,button,Persist scheduled state,,
Content,Native editor,Editor,Publish,button,Persist published state,Makes public according to routing,
Content,Native editor,Editor,Trash,button,Move to trash,,existing item
Content,Native editor,Editor,Categories → All,tab,Show all categories,,
Content,Native editor,Editor,Categories → Most Used,tab,Show common categories,,
Content,Native editor,Editor,Category checkbox,checkbox,Attach/detach category,Compatibility mirrors categories/projects,
Content,Native editor,Editor,Tags,field,Attach tags,,
Content,Native editor,Editor,Collections,field,Associate collections,,
Content,Native editor,Editor,Campaigns,field,Associate campaigns,,Campaigns/data
Content,Native editor,Editor,Featured image,media,Set primary image,,
Content,Native editor,Editor,Featured image alt,text,Set alternative text,Accessibility,
Content,Native editor,Editor,Featured image caption,text,Set caption,,
Content,Native editor,Editor,Featured title display,select,Set overlay/below/hidden,Presentation,
Content,Native editor,Editor,Allow comments,checkbox,Store comment allowance,Public effect implementation-dependent,
Content,Native editor,Editor,Read mode,toggle,Enable read mode,,
Content,Native editor,Editor,Experience mode,toggle,Enable experience mode,,
Content,Native editor,Editor,Print mode,toggle,Enable print mode,,
Content,Native editor,Editor,Default mode,select,Choose default display mode,,
Content,Native editor,Editor,Hero style,select,Set hero treatment,,
Content,Native editor,Editor,Revision compare,action,Compare saved revision,,
Content,Native editor,Editor,Restore server revision,button,Restore persisted snapshot,Replaces persisted state,
Content,Native editor,Editor,Load legacy recovery snapshot,button,Load browser recovery,Must save to persist,
Media,Media Library,Media,Select Files,button,Choose uploads,,
Media,Media Library,Media,Drop files,dropzone,Upload dropped files,,
Media,Media Library,Media,Media tile,button,Select media,,
Media,Media Library,Media,Title,text,Set media title,,
Media,Media Library,Media,Alt text,text,Set alternative text,Accessibility,
Media,Media Library,Media,Caption,text,Set caption,,
Media,Media Library,Media,Description,textarea,Set description,,
Media,Media Library,Media,Credit / creator,text,Store creator/credit,Rights,
Media,Media Library,Media,Attribution,text,Store attribution,Rights,
Media,Media Library,Media,License,text,Store license,Rights,
Media,Media Library,Media,License URL,url,Store license link,Rights,
Media,Media Library,Media,Source URL,url,Store source page,Provenance,
Media,Media Library,Media,Tags,field,Classify media,,
Media,Media Library,Media,Register legacy existing URL,button,Persist old media reference,Only for suitable existing URL,
Content,Collections,Collections,Add Collection,button,Create collection,,
Content,Collections,Collections,Collection list item,button,Load collection,,
Content,Collections,Collections,Title,text,Set title,Required,
Content,Collections,Collections,Slug,text,Set unique slug,Required/unique,
Content,Collections,Collections,Status,select,Set published/draft/archived,Visibility,
Content,Collections,Collections,Subtitle,text,Set subtitle,,
Content,Collections,Collections,Overview,textarea,Set overview,,
Content,Collections,Collections,Featured quote,textarea,Set quote,,
Content,Collections,Collections,Cover image URL,text,Set cover,,
Content,Collections,Collections,Choose Cover,button,Open media picker,,
Content,Collections,Collections,Cover alt text,text,Set alt,Accessibility,
Content,Collections,Collections,Search pieces,search,Filter pieces,,
Content,Collections,Collections,Piece checkbox,checkbox,Assign/unassign piece,,
Content,Collections,Collections,Up,button,Move earlier,,
Content,Collections,Collections,Down,button,Move later,,
Content,Collections,Collections,Feature,button,Toggle featured piece,,
Content,Collections,Collections,Related collections,text,Set related collection slugs,,
Content,Collections,Collections,Related piece slugs,text,Set related pieces,,
Content,Collections,Collections,Timeline Add,button,Add timeline row,,
Content,Collections,Collections,Downloads Add,button,Add download row,,
Content,Collections,Collections,Gallery Add,button,Add gallery row,,
Content,Collections,Collections,Updates Add,button,Add update row,,
Content,Collections,Collections,External Links Add,button,Add external-link row,,
Content,Collections,Collections,Row Remove,button,Remove row,,
Content,Collections,Collections,Save Collection,button,Persist collection,,
Content,Collections,Collections,Reload,button,Reload data,May replace unsaved changes,
